SESSIONID,CARPARKNUMBER,VEHICLETYPE,SESSIONSTART,SESSIONEND,TOTAL_CHARGE,DURATION,EFFECTIVE_CHARGE,LOT_NUMBER,LABEL_TYPE
0PL81-E-00001-20211004190117,PL81,C,4/10/2021 19:01,6/10/2021 7:40,0,2199,0,258,1
0PL81-E-00001-20211004190123,PL81,C,4/10/2021 19:01,5/10/2021 8:09,0,788,0,279,1
0PL81-E-00001-20211004190227,PL81,C,4/10/2021 19:02,5/10/2021 7:49,0,767,0,361,1
0PL81-E-00001-20211004190437,PL81,C,4/10/2021 19:04,4/10/2021 19:09,0,5,0,146,1
0PL81-E-00001-20211004190448,PL81,C,4/10/2021 19:04,5/10/2021 5:13,0,609,0,81,1
0PL81-L-00145-20211004190909,PL81,C,4/10/2021 19:09,4/10/2021 19:14,0,5,0,145,1
0PL81-L-00146-20211004190909,PL81,C,4/10/2021 19:09,4/10/2021 22:04,0,175,0,146,1
0PL81-E-00001-20211004190921,PL81,C,4/10/2021 19:09,4/10/2021 22:20,0,191,0,99,1
0PL81-E-00001-20211004190939,PL81,C,4/10/2021 19:09,5/10/2021 7:29,0,740,0,67,1
0PL81-E-00001-20211004191109,PL81,C,4/10/2021 19:11,5/10/2021 9:59,0,888,0,73,1
0PL81-E-00001-20211004191225,PL81,C,4/10/2021 19:12,5/10/2021 7:59,0,767,0,92,1
0PL81-E-00001-20211004191230,PL81,C,4/10/2021 19:12,5/10/2021 15:16,0,1204,0,45,1
0PL81-E-00001-20211004191405,PL81,C,4/10/2021 19:14,5/10/2021 7:47,0,753,0,23,1
0PL81-E-00001-20211004191613,PL81,C,4/10/2021 19:16,5/10/2021 8:54,0,818,0,160,1
0PL81-E-00001-20211004191617,PL81,C,4/10/2021 19:16,5/10/2021 8:28,0,792,0,252,1
0PL81-E-00001-20211004191742,PL81,C,4/10/2021 19:17,5/10/2021 8:11,0,774,0,21,1
0PL81-E-00001-20211004191906,PL81,C,4/10/2021 19:19,5/10/2021 6:35,0,676,0,50,1
0PL81-E-00001-20211004191910,PL81,C,4/10/2021 19:19,5/10/2021 7:27,0,728,0,58,1
0PL81-E-00001-20211004191915,PL81,C,4/10/2021 19:19,4/10/2021 19:36,0,17,0,299,1
0PL81-E-00001-20211004191919,PL81,C,4/10/2021 19:19,5/10/2021 6:56,0,697,0,78,1
